"region","godina","godishna_zaplata"
"Велико Търново","2012",6742
"Габрово","2012",7399
"Разград","2012",7065
"Русе","2012",7155
"Силистра","2012",6390
"Североизточен район","2012",7806
"Варна","2012",8562
"Добрич","2012",6738
"Търговище","2012",6556
"Шумен","2012",7068
"Югоизточен район","2012",7990
"Бургас","2012",7788
"Сливен","2012",6589
"Стара Загора","2012",9117
"Ямбол","2012",6679
"Югозападен район","2012",10896
"Благоевград","2012",6271
"Кюстендил","2012",6444
"Перник","2012",6392
"София","2012",8926
"София (столица)","2012",12059
"Южен централен район","2012",7004
"Кърджали","2012",6266
"Пазарджик","2012",6862
"Пловдив","2012",7418
"Смолян","2012",6516
"Хасково","2012",6267
"Видин","2013",6195
"Враца","2013",9383
"Ловеч","2013",6940
"Монтана","2013",6995
"Плевен","2013",7046
"Северен централен район","2013",7474
"Велико Търново","2013",7262
"Габрово","2013",7912
"Разград","2013",7533
"Русе","2013",7589
"Силистра","2013",6880
"Североизточен район","2013",8205
"Варна","2013",8922
"Добрич","2013",7164
"Търговище","2013",7195
"Шумен","2013",7405
"Югоизточен район","2013",8363
"Бургас","2013",8212
"Сливен","2013",6999
"Стара Загора","2013",9414
"Ямбол","2013",7111
"Югозападен район","2013",11583
"Благоевград","2013",6566
"Кюстендил","2013",6880
"Перник","2013",6719
"София","2013",9252
"София (столица)","2013",12851
"Южен централен район","2013",7449
"Кърджали","2013",6842
"Пазарджик","2013",7264
"Пловдив","2013",7922
"Смолян","2013",6800
"Хасково","2013",6581
